Timestamp,Latitude,Longitude,Altitude_m,AvgDimX_cm,AvgDimY_cm,AvgDimZ_cm,AvgVolume_cm3,AvgFolArea_cm2,AvgNDVI
1747131248.99966,41.1398829,16.798385,55.396,37.809142435232,31.0884559023066,19,22333.1292887331,603.197958145333,0.701093289426946
1747131249.99966,41.1398828,16.7983851,55.402,22.3728752705451,22.8499321573948,21.2333333333333,16976.7464097236,277.713955864568,0.701690146235136
1747131250.99966,41.1398829,16.798385,55.398,18.4170427153684,25.1821329715061,17.5,8116.15732550552,218.152309882628,0.58218638168167
1747131251.99966,41.1398829,16.7983851,55.395,26.9781276466373,30.0942578018996,19.325,15742.0281359111,475.466166865928,0.57975373433077
1747131252.99966,41.1398827,16.7983855,55.4,32.4806923060219,33.4260624151967,19.2,21769.8886495874,583.091406606495,0.549444548358878
1747131253.99966,41.1398816,16.7983881,55.4,34.9772134031141,34.8986919945726,21.4,27547.0275058089,679.407261942907,0.60159546649332
1747131254.99966,41.1398801,16.7983914,55.4,34.9005581011531,36.9555386702849,19.95,26603.0967493503,743.809112090794,0.553936316540978
1747131255.99966,41.1398792,16.798393,55.399,34.170047123716,36.2758100407056,23,28656.9613860561,609.131614795227,0.58836119555899
1747131256.99966,41.1398778,16.7983978,55.383,32.6528241655628,33.9103934871099,19.75,23127.6635512101,642.753459187851,0.531495233409498
1747131257.99965,41.1398754,16.7984018,55.4,33.0513648504854,35.0259972862958,20.65,24337.0137248364,648.322591576758,0.606517271429403
1747131258.99965,41.1398732,16.7984056,55.399,25.9889581387942,31.6504314789688,19.2,16091.3299663136,463.781272939114,0.55722091895113
1747131259.99965,41.1398709,16.7984103,55.401,29.4487806467024,31.5687055630936,18.1,16979.7516520805,574.976949955744,0.617229874560422
1747131260.99965,41.1398694,16.7984156,55.399,30.5732314129152,34.461894165536,17.5,18380.9548685689,558.913765799248,0.535800796374329
1747131261.99965,41.1398677,16.798419,55.414,32.5062064322787,33.9397883310719,17.3,19710.5413278205,609.335286763419,0.579135493265749
1747131262.99965,41.1398658,16.7984235,55.395,28.7819887511129,32.4896824966079,20.8333333333333,19810.6286261951,520.441653071698,0.590539514910309
1747131263.99965,41.1398641,16.7984288,55.396,33.5436947599296,33.962605156038,19.7,22593.8829216086,619.430072019395,0.597830584836439
1747131264.99965,41.1398621,16.7984319,55.403,27.4931681469739,29.9003907734057,19.75,16488.4048595388,454.554350126468,0.570787665997497
1747131265.99965,41.1398597,16.7984375,55.393,31.0383048491824,31.2363093622795,21.75,25233.2845356078,631.629059914538,0.563403029000003
1747131266.99965,41.1398569,16.7984428,55.396,28.0419509652761,31.5939647218453,16.95,16154.525674277,547.848142292899,0.448688267813116
1747131267.99965,41.1398549,16.7984483,55.389,26.6413458127936,29.8081013116237,19.7666666666667,18296.9327398439,526.777385134357,0.65032855591925
1747131268.99965,41.1398528,16.7984537,55.38,28.9553736237486,30.8750610583446,16.05,15448.3990859558,514.980590416118,0.595977566936975
1747131269.99965,41.1398505,16.7984594,55.391,31.2518708332428,33.3698018995929,16.95,17932.8727997255,584.777038139076,0.572497973623246
1747131270.99965,41.1398475,16.7984658,55.394,28.9637864014419,31.0082822252375,14.3,12843.0768615779,516.185532305548,0.513276245669786
1747131271.99965,41.1398448,16.7984715,55.387,29.1006341071467,26.1017856173677,15.05,11591.6879788521,406.231408296632,0.625555556063097
1747131272.99965,41.1398425,16.7984766,55.398,30.2366348889227,31.2313125282678,17.6666666666667,16898.6301065423,535.92699687337,0.616437338087134
1747131273.99965,41.1398405,16.798481,55.386,29.3272731221091,28.5878317503392,16.9,15994.2583481726,473.161840930277,0.676995222653686
1747131274.99965,41.1398388,16.7984843,55.401,25.6764120827814,30.1198751696065,18.2,14584.3892493378,469.507462797264,0.619694470010827
1747131275.99965,41.1398369,16.7984887,55.398,25.1541010662555,29.511131614654,18.7,14746.7401600148,466.970871233431,0.602034200163456
1747131276.99965,41.1398346,16.7984933,55.406,28.375440291863,30.2702089552239,19.75,18560.462398841,496.910605432122,0.611283432336635
1747131277.99965,41.1398329,16.7984977,55.399,27.9628178679233,29.5671243781095,19.4333333333333,17347.0957546212,476.199079043419,0.577786804833116
1747131278.99965,41.1398307,16.798503,55.39,14.1389693587266,25.0278643147897,12.5,4423.35258326472,229.648177817299,0.589712503106892
